lat,lon,tz,date,units,cloud_cover,humidity,precipitation,temperature,pressure,wind
29.18483,71.49811,+05:00,2019-01-01,standard,{'afternoon': 4.0},{'afternoon': 57.0},{'total': 0.0},"{'min': 280.29, 'max': 295.09, 'afternoon': 291.55, 'night': 283.42, 'evening': 293.04, 'morning': 280.29}",{'afternoon': 1020.0},"{'max': {'speed': 3.15, 'direction': 198.0}}"
29.18483,71.49811,+05:00,2019-01-02,standard,{'afternoon': 0.0},{'afternoon': 60.0},{'total': 0.0},"{'min': 281.4, 'max': 294.65, 'afternoon': 290.49, 'night': 285.88, 'evening': 292.13, 'morning': 281.5}",{'afternoon': 1022.0},"{'max': {'speed': 3.02, 'direction': 6.0}}"
29.18483,71.49811,+05:00,2019-01-03,standard,{'afternoon': 88.0},{'afternoon': 69.0},{'total': 0.0},"{'min': 281.24, 'max': 292.79, 'afternoon': 289.64, 'night': 284.26, 'evening': 291.41, 'morning': 281.24}",{'afternoon': 1025.0},"{'max': {'speed': 2.65, 'direction': 14.0}}"
29.18483,71.49811,+05:00,2019-01-04,standard,{'afternoon': 94.0},{'afternoon': 67.0},{'total': 0.0},"{'min': 282.02, 'max': 291.93, 'afternoon': 288.21, 'night': 286.28, 'evening': 288.97, 'morning': 282.07}",{'afternoon': 1020.0},"{'max': {'speed': 2.23, 'direction': 107.0}}"
29.18483,71.49811,+05:00,2019-01-05,standard,{'afternoon': 5.0},{'afternoon': 65.0},{'total': 0.0},"{'min': 281.86, 'max': 292.92, 'afternoon': 290.24, 'night': 284.56, 'evening': 291.31, 'morning': 282.5}",{'afternoon': 1019.0},"{'max': {'speed': 5.07, 'direction': 8.0}}"
29.18483,71.49811,+05:00,2019-01-06,standard,{'afternoon': 0.0},{'afternoon': 62.0},{'total': 0.0},"{'min': 282.34, 'max': 292.62, 'afternoon': 289.42, 'night': 285.53, 'evening': 291.48, 'morning': 282.58}",{'afternoon': 1022.0},"{'max': {'speed': 4.5, 'direction': 6.0}}"
29.18483,71.49811,+05:00,2019-01-07,standard,{'afternoon': 85.0},{'afternoon': 61.0},{'total': 0.0},"{'min': 279.63, 'max': 292.79, 'afternoon': 289.35, 'night': 284.44, 'evening': 290.99, 'morning': 280.54}",{'afternoon': 1023.0},"{'max': {'speed': 2.51, 'direction': 60.0}}"
29.18483,71.49811,+05:00,2019-01-08,standard,{'afternoon': 7.0},{'afternoon': 57.0},{'total': 0.0},"{'min': 280.79, 'max': 292.87, 'afternoon': 290.41, 'night': 286.13, 'evening': 290.7, 'morning': 281.14}",{'afternoon': 1020.0},"{'max': {'speed': 2.62, 'direction': 206.0}}"
29.18483,71.49811,+05:00,2019-01-09,standard,{'afternoon': 0.0},{'afternoon': 62.0},{'total': 0.0},"{'min': 281.53, 'max': 295.17, 'afternoon': 290.57, 'night': 284.14, 'evening': 292.52, 'morning': 281.77}",{'afternoon': 1020.0},"{'max': {'speed': 2.66, 'direction': 232.0}}"
29.18483,71.49811,+05:00,2019-01-10,standard,{'afternoon': 42.0},{'afternoon': 52.0},{'total': 0.0},"{'min': 282.47, 'max': 295.41, 'afternoon': 291.35, 'night': 285.4, 'evening': 293.17, 'morning': 282.68}",{'afternoon': 1016.0},"{'max': {'speed': 3.83, 'direction': 190.0}}"
29.18483,71.49811,+05:00,2019-01-11,standard,{'afternoon': 9.0},{'afternoon': 54.0},{'total': 0.0},"{'min': 286.05, 'max': 294.08, 'afternoon': 290.52, 'night': 289.05, 'evening': 292.33, 'morning': 286.05}",{'afternoon': 1019.0},"{'max': {'speed': 5.73, 'direction': 9.0}}"
