tiff_file,start_date,end_date,precipitation_sum
NDMI_2019-01-01_to_2019-01-08.tif,2019-01-01,2019-01-08,0.0
NDMI_2019-01-15_to_2019-01-22.tif,2019-01-15,2019-01-22,5.24
NDMI_2019-02-05_to_2019-02-12.tif,2019-02-05,2019-02-12,3.6
NDMI_2019-02-12_to_2019-02-19.tif,2019-02-12,2019-02-19,0.57
NDMI_2019-02-19_to_2019-02-26.tif,2019-02-19,2019-02-26,31.259999999999998
NDMI_2019-03-12_to_2019-03-19.tif,2019-03-12,2019-03-19,2.31
NDMI_2019-03-19_to_2019-03-26.tif,2019-03-19,2019-03-26,0.89
NDMI_2019-03-26_to_2019-04-02.tif,2019-03-26,2019-04-02,0.0
NDMI_2019-04-02_to_2019-04-09.tif,2019-04-02,2019-04-09,0.0
NDMI_2019-04-16_to_2019-04-23.tif,2019-04-16,2019-04-23,7.859999999999999
NDMI_2019-04-23_to_2019-04-30.tif,2019-04-23,2019-04-30,0.24
NDMI_2019-04-30_to_2019-05-07.tif,2019-04-30,2019-05-07,0.0
NDMI_2019-05-21_to_2019-05-28.tif,2019-05-21,2019-05-28,3.4
NDMI_2019-05-28_to_2019-06-04.tif,2019-05-28,2019-06-04,0.0
NDMI_2019-06-04_to_2019-06-11.tif,2019-06-04,2019-06-11,0.0
NDMI_2019-06-11_to_2019-06-18.tif,2019-06-11,2019-06-18,0.11
NDMI_2019-06-25_to_2019-07-02.tif,2019-06-25,2019-07-02,0.5
NDMI_2019-07-01_to_2019-07-08.tif,2019-07-01,2019-07-08,0.25
NDMI_2019-07-15_to_2019-07-22.tif,2019-07-15,2019-07-22,6.8100000000000005
NDMI_2019-08-05_to_2019-08-12.tif,2019-08-05,2019-08-12,45.620000000000005
NDMI_2019-08-19_to_2019-08-26.tif,2019-08-19,2019-08-26,0.66
NDMI_2019-09-02_to_2019-09-09.tif,2019-09-02,2019-09-09,0.0
NDMI_2019-09-16_to_2019-09-23.tif,2019-09-16,2019-09-23,0.0
NDMI_2019-09-23_to_2019-09-30.tif,2019-09-23,2019-09-30,0.0
NDMI_2019-09-30_to_2019-10-07.tif,2019-09-30,2019-10-07,0.0
NDMI_2019-10-07_to_2019-10-14.tif,2019-10-07,2019-10-14,0.0
NDMI_2019-10-14_to_2019-10-21.tif,2019-10-14,2019-10-21,0.0
NDMI_2019-10-21_to_2019-10-28.tif,2019-10-21,2019-10-28,0.0
NDMI_2019-10-28_to_2019-11-04.tif,2019-10-28,2019-11-04,0.0
NDMI_2019-11-04_to_2019-11-11.tif,2019-11-04,2019-11-11,0.0
NDMI_2019-12-02_to_2019-12-09.tif,2019-12-02,2019-12-09,0.0
NDMI_2020-01-15_to_2020-01-22.tif,2020-01-15,2020-01-22,0.0
NDMI_2020-01-22_to_2020-01-29.tif,2020-01-22,2020-01-29,0.0
